"Fonte","Atividade","Valor"
"Brasil","7.48.48050 Comércio de madeira, material de construção, ferragens e ferramentas","665066"
"Brasil","7.48.48060 Comércio de combustíveis para veículos automotores","373630"
"Brasil","7.48.48071 Comércio de produtos farmacêuticos, médicos, ortopédicos, odontológicos e de cosméticos e perfumaria","836855"
"Brasil","7.48.48072 Comércio de artigos de escritório e de papelaria; livros, jornais e outras publicações","83829"
"Brasil","7.48.48073 Comércio de eletrodomésticos, móveis e outros artigos de residência","290912"
"Brasil","7.48.48074 Comércio de equipamentos e produtos de tecnologias de informação e comunicação","81492"
"Brasil","7.48.48075 Comércio de máquinas, aparelhos e equipamentos, exceto eletrodomésticos","102828"
"Brasil","7.48.48076 Comércio de combustíveis sólidos, líquidos e gasosos, exceto para veículos automotores","98890"
"Brasil","7.48.48077 Comércio de produtos usados","20378"
"Brasil","7.48.48078 Comércio de resíduos e sucatas","27630"
"Brasil","7.48.48079 Comércio de produtos novos não especificados anteriormente","488685"
"Brasil","7.48.48080 Supermercado e hipermercado","761670"
"Brasil","7.48.48090 Lojas de departamento e outros comércios não especializados, sem predominância de produtos alimentícios","84877"
"Brasil","7.48.48100 Comércio ambulante e feiras","773239"
"Brasil","7.48.48999 Atividades de comércio não especificadas","4656827"
"Brasil","8 Transporte, armazenagem e correio","5315199"
"Brasil","8.49 Transporte terrestre","3634677"
"Brasil","8.49.49010 Transporte ferroviário e metroferroviário","37351"
"Brasil","8.49.49030 Transporte rodoviário de passageiros","2249114"
"Brasil","8.49.49040 Transporte rodoviário de carga","912883"
"Brasil","8.49.49090 Outros transportes terrestres","2351"
"Brasil","8.49.49999 Atividades de transporte não especificadas","432977"
"Brasil","8.50 Transporte aquaviário","47911"
"Brasil","8.50.50000 Transporte aquaviário","47911"
"Brasil","8.51 Transporte aéreo","51671"
"Brasil","8.51.51000 Transporte aéreo","51671"
"Brasil","8.52 Armazenamento e atividades auxiliares dos transportes","948514"
"Brasil","8.52.52010 Armazenamento, carga e descarga","259441"
"Brasil","8.52.52020 Atividades auxiliares dos transportes e atividades relacionadas à organização do transporte de carga","689073"
"Brasil","8.53 Correio e outras atividades de entrega","632427"
"Brasil","8.53.53001 Atividades de correio","92935"
"Brasil","8.53.53002 Atividades de malote e de entrega","539492"
"Brasil","9 Alojamento e alimentação","3795688"
"Brasil","9.55 Alojamento","317376"
"Brasil","9.55.55000 Alojamento","317376"
"Brasil","9.56 Alimentação","3478312"
"Brasil","9.56.56011 Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas","2026706"
"Brasil","9.56.56012 Serviços de catering, bufê e outros Serviços de comida preparada","578215"
"Brasil","9.56.56020 Serviços ambulantes de alimentação","79899"
"Brasil","9.56.56999 Atividades de alimentação não especificadas","793492"
"Brasil","10 Informação e comunicação","1518550"
"Brasil","10.58 Edição e edição integrada à de impressão","49152"
"Brasil","10.58.58000 Edição e edição integrada à impressão","49152"
"Brasil","10.59 Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e de música","73159"
"Brasil","10.59.59000 Atividades cinematográficas, produção de vídeos e de programas de televisão, gravação de som e de música","73159"
"Brasil","10.60 Atividades de rádio e de televisão","63097"
"Brasil","10.60.60001 Atividades de rádio","38619"
"Brasil","10.60.60002 Atividades de televisão","24478"
"Brasil","10.61 Telecomunicações","353552"
"Brasil","10.61.61000 Telecomunicações","353552"
"Brasil","10.62 Atividades dos serviços de tecnologia da informação","875815"
"Brasil","10.62.62000 Atividades dos serviços de tecnologia da informação","875815"
"Brasil","10.63 Atividades de prestação de serviços de informação","103774"
"Brasil","10.63.63000 Atividades de prestação de serviços de informação","103774"
"Brasil","11 Atividades financeiras, de seguros e serviços relacionados","1136497"
"Brasil","11.64 Atividades de serviços financeiros","827661"
"Brasil","11.64.64000 Serviços financeiros","827661"
"Brasil","11.65 Seguros, resseguros, previdência complementar e planos de saúde","137821"
"Brasil","11.65.65000 Seguros e previdência privada","137821"
"Brasil","11.66 Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde","171014"
"Brasil","11.66.66001 Atividades auxiliares dos serviços financeiros","66408"
"Brasil","11.66.66002 Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde","104606"
"Brasil","12 Atividades imobiliárias","473598"
"Brasil","12.68 Atividades imobiliárias","473598"
"Brasil","12.68.68000 Atividades imobiliárias","473598"
"Brasil","13 Atividades profissionais, científicas e técnicas","3461665"
"Brasil","13.69 Atividades jurídicas, de contabilidade e de auditoria","1749567"
"Brasil","13.69.69000 Atividades jurídicas, de contabilidade e de auditoria","1749567"
"Brasil","13.70 Atividades de consultoria em gestão empresarial","73148"
"Brasil","13.70.70000 Atividades de consultoria em gestão empresarial","73148"
"Brasil","13.71 Serviços de arquitetura e engenharia; testes e análises técnicas","620102"
